site,date,evi,tag
HARV,2013-11-25,0.2524,training
SJER,2013-11-25,0.2198,training
HARV,2013-12-11,0.246,training
SJER,2013-12-11,0.2274,training
HARV,2013-12-27,0.2311,training
SJER,2013-12-27,0.236,training
HARV,2014-01-09,0.3569,training
SJER,2014-01-09,0.211,training
SJER,2014-01-25,0.281,training
HARV,2014-02-10,0.1716,training
SJER,2014-02-10,0.2953,training
HARV,2014-02-26,0.2416,training
SJER,2014-02-26,0.3302,training
HARV,2014-03-14,0.2247,training
SJER,2014-03-14,0.3418,training
HARV,2014-03-30,0.3038,training
SJER,2014-03-30,0.3301,training
HARV,2014-04-15,0.3153,training
SJER,2014-04-15,0.2488,training
HARV,2014-05-01,0.2435,training
SJER,2014-05-01,0.222,training
HARV,2014-05-17,0.4082,training
SJER,2014-05-17,0.1899,training
HARV,2014-06-02,0.7565000000000001,training
SJER,2014-06-02,0.1886,training
HARV,2014-06-18,0.6947,training
SJER,2014-06-18,0.17350000000000002,training
HARV,2014-07-04,0.785,training
SJER,2014-07-04,0.1778,training
HARV,2014-07-20,0.5825,training
SJER,2014-07-20,0.1858,training
HARV,2014-08-05,0.7003,training
SJER,2014-08-05,0.1864,training
HARV,2014-08-21,0.6745,training
SJER,2014-08-21,0.1754,training
HARV,2014-09-06,0.6252,training
SJER,2014-09-06,0.1481,training
HARV,2014-09-22,0.6469,training
SJER,2014-09-22,0.1839,training
HARV,2014-10-08,0.5089,training
SJER,2014-10-08,0.17950000000000002,training
SJER,2014-10-24,0.16690000000000002,training
HARV,2014-11-09,0.249,training
SJER,2014-11-09,0.2272,training
HARV,2014-11-25,0.2271,training
SJER,2014-11-25,0.26930000000000004,training
HARV,2014-12-11,0.2713,training
SJER,2014-12-11,0.4162,training
HARV,2014-12-27,0.2255,training
SJER,2014-12-27,0.4832,training
HARV,2015-01-09,0.28400000000000003,training
SJER,2015-01-09,0.4947,training
SJER,2015-01-25,0.4693,training
SJER,2015-02-10,0.5780000000000001,training
HARV,2015-02-26,0.13920000000000002,training
SJER,2015-02-26,0.5162,training
HARV,2015-03-14,0.2487,training
SJER,2015-03-14,0.4779000000000001,training
HARV,2015-03-30,0.25830000000000003,training
SJER,2015-03-30,0.2853,training
HARV,2015-04-15,0.3171,training
SJER,2015-04-15,0.2767,training
HARV,2015-05-01,0.4595,training
SJER,2015-05-01,0.2327,training
HARV,2015-05-17,0.639,training
SJER,2015-05-17,0.2449,training
HARV,2015-06-02,0.6154000000000001,training
SJER,2015-06-02,0.2082,training
HARV,2015-06-18,0.6258,training
SJER,2015-06-18,0.2082,training
HARV,2015-07-04,0.6129,training
SJER,2015-07-04,0.2046,training
HARV,2015-07-20,0.7161000000000001,training
SJER,2015-07-20,0.215,training
HARV,2015-08-05,0.6646000000000001,training
SJER,2015-08-05,0.206,training
HARV,2015-08-21,0.6513,training
SJER,2015-08-21,0.2133,training
HARV,2015-09-06,0.6142000000000001,training
SJER,2015-09-06,0.1983,training
HARV,2015-09-22,0.5782,training
SJER,2015-09-22,0.1947,training
HARV,2015-10-08,0.5492,training
SJER,2015-10-08,0.1981,training
HARV,2015-10-24,0.3952,training
SJER,2015-10-24,0.17650000000000002,training
HARV,2015-11-09,0.31870000000000004,training
SJER,2015-11-09,0.30360000000000004,training
HARV,2015-11-25,0.2753,training
SJER,2015-11-25,0.3791,training
HARV,2015-12-11,0.2931,training
SJER,2015-12-11,0.3905,training
HARV,2015-12-27,0.2594,training
SJER,2015-12-27,0.3983,training
SJER,2016-01-09,0.4123,training
HARV,2016-01-25,0.2274,training
SJER,2016-01-25,0.4816,training
HARV,2016-02-10,0.3121,training
SJER,2016-02-10,0.4341,training
HARV,2016-02-26,0.3047,training
SJER,2016-02-26,0.3779,training
HARV,2016-03-13,0.2491,training
SJER,2016-03-13,0.3959,training
HARV,2016-03-29,0.3447,training
SJER,2016-03-29,0.3776,training
HARV,2016-04-14,0.2655,training
SJER,2016-04-14,0.3636,training
HARV,2016-04-30,0.3302,training
SJER,2016-04-30,0.3148,training
HARV,2016-05-16,0.5094000000000001,training
SJER,2016-05-16,0.2149,training
HARV,2016-06-01,0.7459,training
SJER,2016-06-01,0.1821,training
HARV,2016-06-17,0.7263000000000001,training
SJER,2016-06-17,0.1836,training
HARV,2016-07-03,0.73740000000000006,training
